類型,基因名稱,基因等級,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,隨行獸備註
力量,突擊基因【大】,L,主動,電漿衝撞,15,20,對單體造成雷屬性中量傷害，會心率略高,白海龍,
力量,雷電吐息基因【小】,S,主動,能量吐息,1,8,對單體造成雷屬性小量傷害,海龍,
力量,雷擊基因【大】,L,主動,雷電狂擊,40,23,對全體造成雷屬性中量傷害，低機率令對手麻痺3回合,雷顎龍,
力量,雷擊基因【特大】,XL,主動,雷炮,1,41,對全體造成雷屬性大量傷害，低機率令對手麻痺3回合,金獅子,
力量,黏液基因【特大】,XL,主動,電漿液,1,22,對單體造成雷屬性大量傷害，低機率令對手麻痺3回合,雷顎龍,
力量,雷強化基因【小】,S,被動,雷屬性攻擊強化【小】,1,-,【強化0】雷屬性攻擊力極少量提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍,
力量,雷強化基因【中】,M,被動,雷屬性攻擊強化【中】,1,-,【強化0】雷屬性攻擊力略微提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、雷顎龍、金雷公、金獅子,
力量,雷強化基因【大】,L,被動,雷屬性攻擊強化【大】,1,-,【強化0】雷屬性攻擊力顯著提升,雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,
力量,雷強化基因【特】,XL,被動,雷屬性攻擊強化【特】,1,-,【強化0】雷屬性攻擊力大幅提升,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,
力量,蟲彈基因【特大】,XL,主動,重雷光蟲彈,15,24,對單體造成雷屬性大量傷害，中機率令對手麻痺3回合,金雷公,
力量,底力基因【小】,S,被動,底力【小】,1,-,【強化0】體力低於一半時，防禦力極少量提升,草食龍、雌火龍、眠狗龍王,
力量,底力基因【中】,M,被動,底力【中】,1,-,【強化0】體力低於一半時，防禦力略微提升,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,
力量,底力基因【大】,L,被動,底力【大】,1,-,【強化0】體力低於一半時，防禦力顯著提升,恐暴龍、獄狼龍,
力量,底力基因【特大】,XL,被動,底力【特】,1,-,【強化0】體力低於一半時，防禦力大幅提升,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,皆為上位怪
力量,突襲基因【大】,L,主動,電漿重壓,15,20,對單體造成雷屬性中量傷害，會心率略高,白海龍,
