No.,屬性,類型,基因名稱,基因等級,等級,主/被,技能名稱,技能細節,目標,羈絆值消耗,基礎值【強化2】,技能特效【強化2】,固有,一般,稀有
0,彩虹,彩虹,虹色基因,S,1,無,攻擊性質 & 屬性自由,,,,,,,,
1,無,技巧,鞭打基因【小】,S,4,主動,迴旋尾巴,"對敵方全體造成無屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,16,40,,毒妖鳥,,
2,,,鞭子基因【中】,M,,,,,,,,,,,
3,火,力量,鞭打基因【大】,L,15,主動,迴旋尾炸彈,"對敵方全體造成火屬性中量傷害。高機率使其陷入爆破異常狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,25,60,爆破異常 70% 5回合,爆鎚龍,,
4,火,速度,鞭打基因【特大】,XL,15,主動,燃火尾巴,"對單一敵方造成火屬性中量傷害。高機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,14,60,燒傷 80% 3回合,燼滅刃斬龍,,
5,,,全力揮擊基因【小】,S,,,,,,,,,,,
6,火,力量,全力揮擊基因【中】,M,1,主動,熱斬刃,"對敵方全體造成火屬性中量傷害。低機率使其陷入燒傷狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,22,60,燒傷 30% 3回合,斬龍、燼滅刃斬龍,,
7,無,力量,全力揮擊基因【大】,L,10,主動,滅盡碎,"對單一敵方造成無屬性大量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,19,110,,滅盡龍,,
8,無,速度,全力揮擊基因【特大】,XL,40,主動,地獄狂傲,"對敵方全體造成無屬性大量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,38,110,,鏖魔角龍,,
9,無,技巧,爪刺基因【小】,S,1,主動,尖喙刺擊,"對單一敵方造成無屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,怪鳥、青怪鳥,,
10,,,爪刺基因【中】,M,,,,,,,,,,,
11,無,速度,爪刺基因【大】,L,1,主動,螺旋爪,"對單一敵方造成無屬性大量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,19,110,,天眼泡狐龍,,
12,無,速度,爪刺基因【特大】,XL,1,主動,毒掃擊,"對敵方全體造成無屬性大量傷害。中機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,41,110,毒 50% 3回合,櫻火龍,,
13,無,技巧,衝擊基因【小】,S,10,主動,所向披靡,"對敵方全體造成無屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,16,40,,怪鳥,,
14,冰,力量,衝擊基因【中】,M,30,主動,除雪者,"對敵方全體造成冰屬性中量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,20,60,,巨獸,,
15,無,力量,衝擊基因【大】,L,15,主動,宏偉粉碎者,"對敵方全體造成無屬性中量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",全體,20,60,,碎龍,,
16,火,速度,衝擊基因【特大】,XL,30,主動,滑空炸彈,"對敵方全體造成火屬性中量傷害。高機率使其陷入爆破異常狀態。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,26,60,爆破異常 80% 5回合,爆鱗龍,,
17,雷,速度,猛擊基因【小】,S,1,主動,雷電落尾擊,"對單一敵方造成雷屬性小量傷害。
【強化1】威力：小幅提升
【強化2】威力：中幅提升",單體,8,40,,飛雷龍,,
18,冰,速度,猛擊基因【中】,M,20,主動,寒霜擊,"對單一敵方造成冰屬性中量傷害。中機率使其陷入技能封印狀態2回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,12,60,技能封印 50% 2回合,冰牙龍,,
19,雷,技巧,猛擊基因【大】,L,15,主動,雷猛擊,"對敵方全體造成雷屬性中量傷害。低機率使其陷入麻痺狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",全體,26,60,麻痺 40% 3回合,電龍,,
20,無,力量,猛擊基因【特大】,XL,1,主動,毒擊,"對單一敵方造成無屬性大量傷害。中機率使其陷入中毒狀態3回合。
【強化1】威力：小幅提升　賦予率：小幅提升
【強化2】威力：中幅提升　賦予率：中幅提升",單體,21,110,毒 50% 3回合,火龍,,
