類型,基因名稱,基因等級,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,隨行獸備註
力量,龍吐息基因【大】,L,主動,龍息爆射,30,28,對敵方全體造成龍屬性中量傷害。高幾率使其會心率降低3回合。,恐暴龍,
力量,吸血基因【大】,L,主動,噬龍,15,20,對單一敵方龍龍屬性中量傷害。根據造成傷害的比例回復體力。,恐暴龍,
力量,龍強化基因【小】,S,被動,龍屬性攻擊強化【小】,1,-,龍屬性攻擊力小提升【強化0】,草食龍、雌火龍、眠狗龍王,
力量,龍強化基因【中】,M,被動,龍屬性攻擊強化【中】,1,-,龍屬性攻擊力中提升【強化0】,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,
力量,龍強化基因【大】,L,被動,龍屬性攻擊強化【大】,1,-,龍屬性攻擊力大提升【強化0】,恐暴龍、獄狼龍,
力量,龍強化基因【特大】,XL,被動,龍屬性攻擊強化【特】,1,-,龍屬性攻擊力特大提升【強化0】,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,皆為上位怪
力量,異常無效基因【小】,S,被動,耐狀態異常【小】,1,-,有幾率使所有狀態異常無效，略低幾率發動【強化0】,滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
力量,異常無效基因【中】,M,被動,耐狀態異常【中】,1,-,有幾率使所有狀態異常無效，中幾率發動【強化0】,滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
力量,異常無效基因【大】,L,被動,耐狀態異常【大】,1,-,有幾率使所有狀態異常無效，大幾率發動【強化0】,滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
力量,異常無效基因【特大】,XL,被動,耐狀態異常【特】,1,-,有幾率使所有狀態異常無效，大幅幾率發動【強化0】,滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
力量,全力特技基因【小】,S,被動,全力【小】,1,-,消耗較多的羈絆值，以全力施展技能，技能的威力小提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、青熊獸、彩鳥、浮空龍、迅龍、綠迅龍,
力量,全力特技基因【中】,M,被動,全力【中】,1,-,消耗較多的羈絆值，以全力施展技能，技能的威力中提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
力量,全力特技基因【大】,L,被動,全力【大】,1,-,消耗較多的羈絆值，以全力施展技能，技能的威力大提升【強化0】,轟龍、一角龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
力量,全力特技基因【特大】,XL,被動,全力【特】,1,-,消耗較多的羈絆值，以全力施展技能，技能的威力特大提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,皆為上位怪
力量,單挑嗜好基因【小】,S,被動,單挑嗜好【小】,1,-,正面對決造成的傷害小提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、水獸、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍,
力量,單挑嗜好基因【中】,M,被動,單挑嗜好【中】,1,-,正面對決造成的傷害中提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、水獸、青熊獸、彩鳥、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
力量,單挑嗜好基因【大】,L,被動,單挑嗜好【大】,1,-,正面對決造成的傷害大提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、水獸、青熊獸、彩鳥、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
力量,單挑嗜好基因【特大】,XL,被動,單挑嗜好【特】,1,-,正面對決造成的傷害特大提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、水獸、青熊獸、彩鳥、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,皆為上位怪
技巧,蟲彈基因【大】,L,主動,蝕龍蟲彈,1,12,對單一敵方造成龍屬性中量傷害。中幾率使其會心率降低3回合。,獄狼龍,
技巧,狼龍基因【特大】,XL,主動,龍神掌,30,23,對單一敵方造成龍屬性大量傷害。高幾率使其會心率降低3回合。,獄狼龍,
技巧,龍耐性基因【小】,S,被動,龍屬性防禦強化【小】,1,-,龍屬性防禦力小提升【強化0】,草食龍、雌火龍、眠狗龍王,
技巧,龍耐性基因【中】,M,被動,龍屬性防禦強化【中】,1,-,龍屬性防禦力中提升【強化0】,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,
技巧,龍耐性基因【大】,L,被動,龍屬性防禦強化【大】,1,-,龍屬性防禦力大提升【強化0】,恐暴龍、獄狼龍,
技巧,龍耐性基因【特大】,XL,被動,龍屬性防禦強化【特】,1,-,龍屬性防禦力特大提升【強化0】,草食龍、雌火龍、眠狗龍王、恐暴龍、獄狼龍,皆為上位怪
速度,會心基因【小】,S,被動,會心【小】,1,-,會心率小提升【強化0】,草食龍、迅猛龍王、搔鳥、怪鳥、野豬王、背甲龍、狗龍王、水獸、青熊獸、彩鳥、青怪鳥、浮空龍、岩龍、迅龍、雌火龍、波波、眠狗龍王、奇猿狐、毒怪鳥、冰鮫鯊、土砂龍、飛雷龍、奇怪龍、紅怪龍、白兔獸、冰土砂龍、蠻顎龍、白猿狐、綠迅龍,
速度,會心基因【中】,M,被動,會心【中】,1,-,會心率中提升【強化0】,草食龍、迅猛龍王、搔鳥、怪鳥、野豬王、背甲龍、狗龍王、水獸、青熊獸、彩鳥、青怪鳥、浮空龍、岩龍、迅龍、雌火龍、波波、眠狗龍王、奇猿狐、毒怪鳥、冰鮫鯊、土砂龍、飛雷龍、奇怪龍、紅怪龍、白兔獸、冰土砂龍、蠻顎龍、白猿狐、綠迅龍,
速度,會心基因【大】,L,被動,會心【大】,1,-,會心率大提升【強化0】,轟龍、一角龍、巨獸、雷狼龍、冰牙龍、風漂龍、砂龍王、角龍、白一角龍、紅彩鳥、泡狐龍、海龍、爆錘龍、黑轟龍、紫水獸、桃岩龍、鎧龍、黑鎧龍、白海龍、碎龍、電龍、斬龍、風牙龍、恐暴龍、獄狼龍、千刃龍、火龍、蒼火龍、櫻火龍、雷顎龍、白疾風、金雷公、鏖魔、荒鉤爪、紫毒姬、金獅子,
速度,會心基因【特大】,XL,被動,會心【特】,1,-,會心率特大提升【強化0】,草食龍、背甲龍、草食龍、蠻顎龍、雷顎龍、恐暴龍、怪鳥、青怪鳥、爆槌龍、白兔獸、巨獸、彩鳥、紅彩鳥、搔鳥、鎧龍、黑鎧、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、雷狼龍、獄狼龍、千刃龍、泡狐龍、轟龍、黑轟龍、角龍、黑角龍、斬龍、飛雷龍、砂龍王、狗龍王、眠狗龍王、野豬王、迅猛龍王、迅龍、綠迅龍、岩龍、桃岩龍、爆鱗龍、浮空龍、奇怪龍、紅怪龍、碎龍、冰牙龍、風牙龍、土砂龍、冰土砂龍、波波、一角龍、白一角龍、雷龍、海龍、白海龍、金獅子、雌火龍、櫻火龍、雄火龍、蒼火龍、風漂龍、水獸、紫水獸、白疾風、金雷公、鏖魔、荒鉤爪、紫毒姬,皆為上位怪
速度,耐裂基因【小】,S,被動,耐裂傷【小】,1,-,有幾率使裂傷無效，小幾率發動【強化0】,草食龍、毒妖鳥、黑狼鳥、雌火龍、桃毛獸王、眠狗龍王、影蜘蛛、紫毒鳥,
速度,耐裂基因【中】,M,被動,耐裂傷【中】,1,-,有幾率使裂傷無效，中幾率發動【強化0】,草食龍、雌火龍、眠狗龍王、紅速龍王、黃速龍王、骸蜘蛛、綠毛獸王、恐暴龍、獄狼龍,
速度,耐裂基因【大】,L,被動,耐裂傷【大】,1,-,有幾率使裂傷無效，高幾率發動【強化0】,恐暴龍、獄狼龍,
速度,耐裂基因【特大】,XL,被動,耐裂傷【特】,1,-,有幾率使裂傷無效，特高幾率發動【強化0】,草食龍、雌火龍、眠狗龍王、紅速龍王、黃速龍王、骸蜘蛛、綠毛獸王、恐暴龍、獄狼龍,皆為上位怪
無,龍罩基因【大】,L,主動,龍極光,15,24,自己的龍屬性攻擊力與防禦力中幅提升，並額外提升會心率。持續3回合【強化0】,獄狼龍,
無,狂熱化基因【大】,L,主動,狂熱化,1,24,自己的攻擊力大幅提升，且防禦力中幅下降。【強化0】,恐暴龍,
無,即死無效基因,L,被動,即死無效,1,-,使即死完全無效,滅盡龍、麒麟、炎王龍、鋼龍、冰呪龍,上下位皆有
無,會心回復基因【小】,S,被動,會心擊·回復【小】,1,-,會心攻擊時體力獲得回復，回復量小提升【強化0】,水獸、奇猿狐、土砂龍,
無,會心回復基因【中】,M,被動,會心擊·回復【中】,1,-,會心攻擊時體力獲得回復，回復量中提升【強化0】,水獸、奇猿狐、土砂龍、砂龍王、泡狐龍、紫水獸,
無,會心回復基因【大】,L,被動,會心擊·回復【大】,1,-,會心攻擊時體力獲得回復，回復量大提升【強化0】,砂龍王、泡狐龍、紫水獸,
無,會心回復基因【特大】,XL,被動,會心擊·回復【特】,1,-,會心攻擊時體力獲得回復，回復量特大提升【強化0】,水獸、奇猿狐、土砂龍、砂龍王、泡狐龍、紫水獸,皆為上位怪
