類型,基因名稱,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,隨行獸備註
力量,水吐息基因【小】,主動,水壓射擊,8,8,對單一敵方造成水屬性小量傷害,水獸,
力量,毒基因【大】,主動,猛毒危機,10,12,對單一敵方造成水屬性中量傷害。低機率賦予中毒·雷防禦力·速度降低,紫水獸,
力量,毒液基因【中】,主動,毒水彈,1,9,對單一敵方造成水屬性小量傷害。低機率使其陷入中毒狀態3回合,紫水獸,
力量,猛毒基因【中】,主動,猛毒水彈,20,14,對單一敵方造成水屬性中量傷害。高機率使其陷入猛毒狀態3回合,紫水獸,
力量,潑水基因【小】,主動,洪水危機,1,13,對單一敵方造成水屬性小量傷害。高機率使其雷防禦力與速度降低,水獸,
力量,水強化基因【小】,被動,水屬性攻擊強化【小】,1,-,水屬性攻擊力小提升【強化0】,水獸、奇猿狐、土砂龍,
力量,水強化基因【中】,被動,水屬性攻擊強化【中】,1,-,水屬性攻擊力中提升【強化0】,水獸、奇猿狐、土砂龍、砂龍王、泡狐龍、紫水獸,
力量,水強化基因【大】,被動,水屬性攻擊強化【大】,1,-,水屬性攻擊力大提升【強化0】,138、砂龍王、泡狐龍、紫水獸,
力量,水強化基因【特大】,被動,水屬性攻擊強化【特】,1,-,水屬性攻擊力特大提升【強化0】,水獸、奇猿狐、土砂龍、砂龍王、泡狐龍、紫水獸,皆為上位怪
技巧,全力基因【大】,主動,全力迴旋,15,10,對單一敵方造成水屬性中量傷害。自己會因後坐力而承受傷害,水獸、奇猿狐,
技巧,水吐息基因【大】,主動,水波爆射,1,21,對單一敵方造成水屬性大量傷害。中機率使其速度降低3回合,泡狐龍,
技巧,黏液基因【小】,主動,黏液,1,8,對單一敵方造成水屬性小量傷害,奇猿狐,
技巧,水耐性基因【小】,被動,水屬性防禦強化【小】,1,-,水屬性防禦力小提升【強化0】,水獸、奇猿狐、土砂龍,
技巧,水耐性基因【中】,被動,水屬性防禦強化【中】,1,-,水屬性防禦力中提升【強化0】,水獸、奇猿狐、土砂龍、砂龍王、泡狐龍、紫水獸,
技巧,水耐性基因【大】,被動,水屬性防禦強化【大】,1,-,水屬性防禦力大提升【強化0】,砂龍王、泡狐龍、紫水獸,
技巧,水耐性基因【特大】,被動,水屬性防禦強化【特】,1,-,水屬性防禦力特大提升【強化0】,水獸、奇猿狐、土砂龍、砂龍王、泡狐龍、紫水獸,皆為上位怪
技巧,耐眠基因【小】,被動,耐睡眠【小】,1,-,有機率使睡眠無效，小機率發動【強化0】,毒妖鳥、黑狼鳥、波波、桃毛獸王、冰鮫鯊、影蜘蛛、白兔獸、冰土砂龍、紫毒鳥,
技巧,耐眠基因【中】,被動,耐睡眠【中】,1,-,有機率使睡眠無效，中機率發動【強化0】,毒妖鳥、黑狼鳥、波波、桃毛獸王、冰鮫鯊、影蜘蛛、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍、紅速龍王、黃速龍王、紫毒鳥、骸蜘蛛、綠毛獸王,
技巧,耐眠基因【大】,被動,耐睡眠【大】,1,-,有機率使睡眠無效，高機率發動【強化0】,巨獸、冰牙龍、風漂龍、紅速龍王、黃速龍王、骸蜘蛛、綠毛獸王,
技巧,耐眠基因【特大】,被動,耐睡眠【特】,1,-,有機率使睡眠無效，特高機率發動【強化0】,毒妖鳥、黑狼鳥、波波、桃毛獸王、冰鮫鯊、影蜘蛛、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍、紅速龍王、黃速龍王、紫毒鳥、骸蜘蛛、綠毛獸王,皆為上位怪
技巧,默契基因【小】,被動,減少消耗【小】,1,-,指示隨行獸使用技能時羈絆值消耗量減少，羈絆值消耗量小量減少【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、浮空龍、迅龍、綠迅龍,
技巧,默契基因【中】,被動,減少消耗【中】,1,-,指示隨行獸使用技能時羈絆值消耗量減少，羈絆值消耗量中量減少【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、滅盡龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪、麒麟、炎王龍、鋼龍、冰呪龍,
技巧,默契基因【大】,被動,減少消耗【大】,1,-,指示隨行獸使用技能時羈絆值消耗量減少，羈絆值消耗量大量減少【強化0】,轟龍、一角龍、角龍、黑角龍、白一角龍、黑轟龍、滅盡龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪、麒麟、炎王龍、鋼龍、冰呪龍,
技巧,默契基因【特大】,被動,減少消耗【特】,1,-,指示隨行獸使用技能時羈絆值消耗量減少，羈絆值消耗量大幅減少【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、滅盡龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪、麒麟、炎王龍、鋼龍、冰呪龍,皆為上位怪
技巧,不屈基因【小】,被動,不屈【小】,1,-,能力隨著生命值減少而提升，攻擊力與防禦力小提升【強化0】,波波、冰鮫鯊、白兔獸、冰土砂龍,
技巧,不屈基因【中】,被動,不屈【中】,1,-,能力隨著生命值減少而提升，攻擊力與防禦力中提升【強化0】,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,
技巧,不屈基因【大】,被動,不屈【大】,1,-,力隨著生命值減少而提升，攻擊力與防禦力大提升【強化0】,巨獸、冰牙龍、風漂龍,
技巧,不屈基因【特大】,被動,不屈【特】,1,-,能力隨著生命值減少而提升，攻擊力與防禦力特大提升【強化0】,波波、冰鮫鯊、白兔獸、冰土砂龍、巨獸、冰牙龍、風漂龍,皆為上位怪
速度,水吐息基因【中】,主動,妖泡,10,23,對敵方全體造成水屬性中量傷害。低機率賦予速度·命中率降低3回合,泡狐龍,
速度,盲眼基因【中】,主動,飛沙射擊,1,10,對單一敵方造成水屬性小量傷害，中機率使其陷入盲眼狀態,砂龍王,
速度,濁水基因【中】,主動,濺泥,1,9,對單一敵方造成水屬性小量傷害。低機率使其速度降低,土砂龍,
速度,回避性能【小】,被動,回避性能【小】,1,-,有機率躲避敵方的攻擊，無法回避正面決鬥與羈絆技能，回避率小提升【強化0】,青熊獸、背甲龍、彩鳥、搔鳥、狗龍王、野豬王、迅猛龍王、迅龍、綠迅龍、浮空龍,
速度,回避性能【中】,被動,回避性能【中】,1,-,有機率躲避敵方的攻擊，無法回避正面決鬥與羈絆技能，回避率中提升【強化0】,青熊獸、背甲龍、彩鳥、搔鳥、狗龍王、野豬王、迅猛龍王、迅龍、綠迅龍、浮空龍、千刃龍、轟龍、黑轟龍、角龍、黑角龍、風牙龍、一角龍、白一角龍、白疾風、鏖魔、荒鉤爪,
速度,回避性能【大】,被動,回避性能【大】,1,-,有機率躲避敵方的攻擊，無法回避正面決鬥與羈絆技能，回避率大提升【強化0】,千刃龍、轟龍、黑轟龍、角龍、黑角龍、風牙龍、一角龍、白一角龍、白疾風、鏖魔、荒鉤爪,
速度,回避性能【特大】,被動,回避性能【特】,1,-,有機率躲避敵方的攻擊，無法回避正面決鬥與羈絆技能，回避率特大提升【強化0】,青熊獸、背甲龍、彩鳥、搔鳥、狗龍王、野豬王、迅猛龍王、迅龍、綠迅龍、浮空龍、千刃龍、轟龍、黑轟龍、角龍、黑角龍、風牙龍、一角龍、白一角龍、白疾風、鏖魔、荒鉤爪,皆為上位怪
速度,加速基因,被動,加速,1,-,有機率使行動順序成為攻擊行動當中最快的。【強化0】,冰咒龍、麒麟、鋼龍、炎王龍、滅盡龍,皆為上位怪
速度,舞蹈家基因【小】,被動,舞蹈家【小】,1,-,體力全滿時速度提升，攻擊力與防禦力獲得小提升【強化0】,毒怪鳥、飛雷龍、奇怪龍、紅怪龍,
速度,舞蹈家基因【中】,被動,舞蹈家【中】,1,-,體力全滿時速度提升，攻擊力與防禦力獲得中提升【強化0】,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,
速度,舞蹈家基因【大】,被動,舞蹈家【大】,1,-,體力全滿時速度提升，攻擊力與防禦力獲得大提升【強化0】,雷狼龍、紅彩鳥、海龍、白海龍、電龍、138、雷顎龍、金雷公、金獅子,
速度,舞蹈家基因【特大】,被動,舞蹈家【特】,1,-,體力全滿時速度提升，攻擊力與防禦力獲得特大提升【強化0】,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,皆為上位怪
速度,回避本能基因【小】,被動,回避本能【小】,1,-,體力低於一半時回避率小提升【強化0】,毒怪鳥、飛雷龍、奇怪龍、紅怪龍,
速度,回避本能基因【中】,被動,回避本能【中】,1,-,體力低於一半時回避率中提升【強化0】,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,
速度,回避本能基因【大】,被動,回避本能【大】,1,-,體力低於一半時回避率大提升【強化0】,雷狼龍、紅彩鳥、海龍、白海龍、電龍、138、雷顎龍、金雷公、金獅子,
速度,回避本能基因【特大】,被動,回避本能【特】,1,-,體力低於一半時回避率特大提升【強化0】,毒怪鳥、飛雷龍、奇怪龍、紅怪龍、雷狼龍、紅彩鳥、海龍、白海龍、電龍、雷顎龍、金雷公、金獅子,皆為上位怪
