類型,基因名稱,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,
力量,鞭打基因【大】,主動,迴旋尾炸彈,15,25,對全體造成火屬性中量傷害，高機率令對手爆破異常,爆錘龍,
力量,火焰吐息基因【大】,主動,火焰爆發,15,40,對全體造成火屬性中量傷害，低機率令對手燒傷3回合,蒼火龍,
力量,火球基因【特大】,主動,超新星,40,54,對全體造成火屬性特大傷害，高機率令對手燒傷3回合,炎王龍,
力量,黏菌基因【中】,主動,黏菌踐踏,1,9,對單體造成火屬性小量傷害，低機率令對手爆破異常,碎龍,
力量,火球基因【大】,主動,豪火球,15,23,對單體造成火屬性大量傷害，高機率令對手燒傷3回合,火龍,
力量,速跑基因【中】,主動,火焰環刃,15,10,對單體造成火屬性中量傷害,斬龍,
力量,咬牙基因【大】,主動,燃燒利齒,20,12,對單體造成火屬性中量傷害，中機率令對手燒傷3回合,蠻顎龍,
力量,揮擊基因【中】,主動,熱斬刃,1,22,對全體造成火屬性中量傷害，低機率令對手燒傷3回合,斬龍,
力量,熱線基因【大】,主動,熱線,15,14,對單體造成無視防禦力的火屬性傷害，高機率令對手燒傷,黑鎧龍,
力量,陷阱基因P,主動,爆彈陷阱,30,15,"在場上設置2回合後發動的火屬性陷阱，中機率令對手爆破
  ※若正面對決失敗則無法設置",爆錘龍,
力量,氣體基因【中】,主動,焰熱氣體,15,24,對全體造成火屬性小量傷害，高機率令對手燒傷3回合,岩龍,
力量,蠻顎基因【中】,主動,燃燒噴射,10,22,對全體造成火屬性中量傷害，低機率令對手燒傷3回合,蠻顎龍,
力量,引爆基因【大】,主動,起爆烈焰,15,48,對全體造成火屬性大量傷害，立即引爆爆破異常狀態,炎王龍,
力量,引爆基因【小】,主動,一觸即發,1,13,對單體造成火屬性小量傷害，立即引爆爆破異常狀態,爆錘龍,
力量,熱線基因【中】,主動,擴散熱線,1,24,對全體造成無視防禦力的火屬性傷害，高機率令對手燒傷,鎧龍,
力量,耐爆破基因【小】,被動,耐爆破異常【小】,1,-,有時可令爆破異常無效化 【強化0】極少發動,"怪鳥、毒妖鳥、青怪鳥、岩龍、黑狼鳥、桃毛獸王、影蜘蛛
 蠻顎龍、白猿狐、紫毒鳥",
力量,耐爆破基因【中】,被動,耐爆破異常【中】,1,-,有時可令爆破異常無效化 【強化0】偶爾發動,"怪鳥、毒妖鳥、青怪鳥、岩龍、黑狼鳥、桃毛獸王
 影蜘蛛、蠻顎龍、紅速龍王、黃速龍王、白猿狐
 紫毒鳥、爆錘龍、桃岩龍、鎧龍、骸蜘蛛、綠毛獸王
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
力量,耐爆破基因【大】,被動,耐爆破異常【大】,1,-,有時可令爆破異常無效化 【強化0】較常發動,"紅速龍王、黃速龍王、爆錘龍、桃岩龍、鎧龍、骸蜘蛛、綠毛獸王
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
力量,耐爆破基因【特大】,被動,耐爆破異常【特】,1,-,有時可令爆破異常無效化 【強化0】經常發動,"怪鳥、毒妖鳥、青怪鳥、岩龍、黑狼鳥、桃毛獸王
 影蜘蛛、蠻顎龍、紅速龍王、黃速龍王、白猿狐
 紫毒鳥、爆錘龍、桃岩龍、鎧龍、骸蜘蛛、綠毛獸王
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",皆為上位怪
力量,耐燒傷基因【小】,被動,耐燒傷【小】,1,-,有時可令燒傷無效化 【強化0】極少發動,"怪鳥、毒妖鳥、青怪鳥、岩龍、黑狼鳥、桃毛獸王、影蜘蛛
 蠻顎龍、白猿狐、紫毒鳥",
力量,耐燒傷基因【中】,被動,耐燒傷【中】,1,-,有時可令燒傷無效化 【強化0】偶爾發動,"怪鳥、毒妖鳥、青怪鳥、岩龍、黑狼鳥、桃毛獸王
 影蜘蛛、蠻顎龍、紅速龍王、黃速龍王、白猿狐
 紫毒鳥、爆錘龍、桃岩龍、鎧龍、骸蜘蛛、綠毛獸王
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
力量,耐燒傷基因【大】,被動,耐燒傷【大】,1,-,有時可令燒傷無效化 【強化0】較常發動,"紅速龍王、黃速龍王、爆錘龍、桃岩龍、鎧龍、骸蜘蛛、綠毛獸王
 黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬",
力量,耐燒傷基因【特大】,被動,耐燒傷【特】,1,-,有時可令燒傷無效化 【強化0】經常發動,蠻顎龍、怪鳥、青怪鳥、爆錘龍、岩龍、桃岩龍、鎧龍、白猿狐、黑鎧龍、碎龍、斬龍、爆鱗龍、火龍、蒼火龍、櫻火龍、紫毒姬,皆為上位怪
