類型,基因名稱,主/被動,技能名稱,所需等級,消耗羈絆值,技能詳情,可持有隨行獸,隨行獸備註
力量,全力揮擊基因【大】,主動,滅盡碎,10,19,對單體造成無屬性大量傷害,滅盡龍,
力量,衝擊基因【大】,主動,宏偉粉碎者,15,20,對全體造成無屬性中量傷害,碎龍,
力量,猛擊基因【特大】,主動,毒擊,1,21,對單體造成無屬性大量傷害，中機率使其陷入中毒狀態3回合,火龍,
力量,咬牙基因【中】,主動,狂野牙,15,10,對單體造成無屬性中量傷害,海龍、雷顎龍,
力量,岩石基因【小】,主動,岩石奔擊,8,8,對單體造成無屬性小量傷害,騷鳥,
力量,地鳴基因【小】,主動,大地震盪波,8,16,對全體造成無屬性小量傷害,背甲龍,
力量,地鳴基因【特大】,主動,大地碎擊,40,19,對單體造成無屬性大量傷害,荒鉤爪轟龍,
力量,倒地基因【中】,主動,尾巴震盪擊,1,16,對單體造成無屬性中量傷害，低機率使其陷入暈眩,紫毒鳥,
力量,倒地基因【大】,主動,擊倒,10,16,對單體造成無屬性中量傷害，低機率使其陷入擊倒,一角龍,
力量,破壞基因【中】,主動,碎身擊,10,12,對單體造成無屬性中量傷害，低機率使其防禦力降低3回合,冰土砂龍、白一角龍、黑轟龍,
力量,先制基因P【大】,主動,音速擊P,30,16,對單體造成無屬性小量傷害，先發機率非常高,金獅子,
力量,全力基因【中】,主動,全力熊掌,15,10,對單體造成無屬性大量傷，自己會因反作用力而陷入擊倒,青熊獸,
力量,全力基因【特大】,主動,全力角擊,10,38,對全體造成無屬性極大量傷害，自己將因反作用力收到傷害並陷入擊倒,角龍、黑角龍,
力量,背水基因【中】,主動,復仇衝擊,1,10,對單體造成無屬性中量傷害，體力低時攻擊力提升,角龍,
力量,失控基因【小】,主動,必殺衝擊,1,13,對單體造成無屬性小星傷害，命中率低，但命中時必定會心,野豬王,
力量,失控基因【特大】,主動,激重暴亂,15,56,對全體造成無屬性極大呈傷害，命中率低，但命中時必定會心,荒鉤爪轟龍,
力量,毒液基因【小】,主動,毒液,1,9,對單體造成無屬性小量傷害，低機率使其陷入中毒狀態3回合,毒怪鳥、毒猛龍王,
力量,大咆哮基因【小】,主動,咆哮,1,19,對全體造成無屬性小量傷害，低機率使其陷入倒地,奇怪龍、黑角龍,
力量,大咆哮基因【特大】,主動,大咆哮,20,25,對全體造成無屬性中量傷害，高機率使其陷入倒地,黑轟龍、鏖魔,
力量,猛毒基因【小】,主動,猛毒液,20,9,對單體造成無屬性小量傷害，低機率使其陷入猛毒狀態3回合,紫毒鳥,
力量,一擊必殺基因【中】,主動,致命銳角,1,28,對單體造成無屬性小是傷害，低機率即死,白一角龍,
力量,雪上加霜基因P,主動,追全異常重擊P,30,10,對單體造成無屬性中量傷害，對狀態異常的敵方造成的傷害大幅提升,毒怪鳥,
力量,重殼龍基因【中】,主動,奪命衝擊,10,20,對單體造成無屬性中量傷害，會心率高,鎧龍,
力量,滅盡基因【特大】,主動,破棘滅盡旋天,30,50,對全體造成無屬性極大量傷害，自己的防禦力降低3回合，體力自動回復,滅盡龍,
力量,體力增強基因【小】,被動,體力增強【小】,1,-,體力上限極少量提升【強化0】,草食龍、迅猛龍王、搔鳥、怪鳥、野豬王、背甲龍、狗龍王、水獸、青熊獸、彩鳥、青怪鳥、浮空龍、岩龍、迅龍、雌火龍、波波、眠狗龍王、奇猿狐、毒怪鳥、冰鮫鯊、土砂龍、飛雷龍、奇怪龍、紅怪龍、白兔獸、冰土砂龍、蠻顎龍、白猿狐、綠迅龍,
力量,體力增強基因【中】,被動,體力增強【中】,1,-,體力上限略微提升【強化0】,草食龍、迅猛龍王、搔鳥、怪鳥、野豬王、背甲龍、狗龍王、水獸、青熊獸、彩鳥、青怪鳥、浮空龍、岩龍、迅龍、雌火龍、波波、眠狗龍王、奇猿狐、毒怪鳥、冰鮫鯊、土砂龍、飛雷龍、奇怪龍、紅怪龍、白兔獸、冰土砂龍、蠻顎龍、白猿狐、綠迅龍,
力量,體力增強基因【大】,被動,體力增強【大】,1,-,體力上限顯著提升【強化0】,轟龍、一角龍、巨獸、雷狼龍、冰牙龍、風漂龍、砂龍王、角龍、黑角龍、白一角龍、紅彩鳥、泡狐龍、海龍、爆錘龍、黑轟龍、紫水獸、桃岩龍、鎧龍、黑鎧龍、白海龍、碎龍、電龍、斬龍、爆鱗龍、風牙龍、恐暴龍、獄狼龍、千刃龍、火龍、蒼火龍、櫻火龍、雷顎龍、白疾風、金雷公、鏖魔、荒鉤爪、紫毒姬、金獅子,
力量,體力增強基因【特大】,被動,體力增強【特】,1,-,體力上限特顯著提升【強化0】,草食龍、背甲龍、草食龍、蠻顎龍、雷顎龍、恐暴龍、怪鳥、青怪鳥、爆槌龍、白兔獸、巨獸、彩鳥、紅彩鳥、搔鳥、鎧龍、黑鎧、奇猿狐、白猿狐、毒怪鳥、冰鮫鯊、雷狼龍、獄狼龍、千刃龍、泡狐龍、轟龍、黑轟龍、角龍、黑角龍、斬龍、飛雷龍、砂龍王、狗龍王、眠狗龍王、野豬王、迅猛龍王、迅龍、綠迅龍、岩龍、桃岩龍、爆鱗龍、浮空龍、奇怪龍、紅怪龍、碎龍、冰牙龍、風牙龍、土砂龍、冰土砂龍、波波、一角龍、白一角龍、雷龍、海龍、白海龍、金獅子、雌火龍、櫻火龍、雄火龍、蒼火龍、風漂龍、水獸、紫水獸、白疾風、金雷公、鏖魔、荒鉤爪、紫毒姬,皆為上位怪
力量,筋力基因【小】,被動,無屬性攻擊強化【小】,1,-,無屬性攻擊力極少量提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、迅龍、綠迅龍,
力量,筋力基因【中】,被動,無屬性攻擊強化【中】,1,-,無屬性攻擊力略微提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,
力量,筋力基因【大】,被動,無屬性攻擊強化【大】,1,-,無屬性攻擊力顯著提升【強化0】,轟龍、一角龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪、136,
力量,筋力基因【特大】,被動,無屬性攻擊強化【特】,1,-,無屬性攻擊力特顯著提升【強化0】,迅猛龍王、搔鳥、野豬王、背甲龍、狗龍王、青熊獸、彩鳥、轟龍、一角龍、浮空龍、迅龍、綠迅龍、角龍、黑角龍、白一角龍、黑轟龍、風牙龍、千刃龍、白疾風、鏖魔、荒鉤爪,皆為上位怪
力量,耐臭基因【小】,被動,耐惡臭【小】,1,-,有機率使惡臭無效，小機率發動【強化0】,毒妖鳥、水獸、黑狼鳥、桃毛獸王、奇猿狐、土砂龍、紫毒鳥,
力量,耐臭基因【中】,被動,耐惡臭【中】,1,-,有機率使惡臭無效，中機率發動【強化0】,毒妖鳥、水獸、黑狼鳥、桃毛獸王、奇猿狐、影蜘蛛、土砂龍、紅速龍王、黃速龍王、砂龍王、紫毒鳥、泡狐龍、紫水獸、骸蜘蛛、綠毛獸王,
力量,耐臭基因【大】,被動,耐惡臭【大】,1,-,有機率使惡臭無效，高機率發動【強化0】,紅速龍王、黃速龍王、砂龍王、泡狐龍、紫水獸、骸蜘蛛、綠毛獸王,
力量,耐臭基因【特大】,被動,耐惡臭【特】,1,-,有機率使惡臭無效，特高機率發動【強化0】,毒妖鳥、水獸、黑狼鳥、桃毛獸王、奇猿狐、影蜘蛛、土砂龍、紅速龍王、黃速龍王、砂龍王、紫毒鳥、泡狐龍、紫水獸、骸蜘蛛、綠毛獸王,皆為上位怪
技巧,鞭打基因【小】,主動,迴旋尾巴,4,16,對全體造成無屬性小量傷害,毒妖鳥,
技巧,爪刺基因【小】,主動,尖喙刺擊,1,8,對單體造成無屬性小量傷害,怪鳥、青怪鳥,
技巧,衝擊基因【小】,主動,所向披靡,10,16,對全體造成無屬性小量傷害,怪鳥,
技巧,倒地基因【小】,主動,真空衝擊,8,14,對單體造成無屬性小量傷害，低機率使其陷入暈眩,浮空龍,
技巧,破壞基因【小】,主動,狂野粉碎擊,10,9,對單體造成無屬性小量傷害，低機率使防禦力降低3回合,狗龍王、青熊獸、土砂龍,
技巧,突襲基因【中】,主動,奪命壓制,1,18,對單體造成無屬性小量傷害，會心率略高,背甲龍、浮空龍,
技巧,背水基因【小】,主動,復仇斬擊,20,8,對單體造成無屬性小量傷害，體力低時攻擊力提升,浮空龍、影蜘蛛,
技巧,失控基因【中】,主動,激重擊,10,20,對單體造成無屬性中量傷害，命中率低，但命中時必定會心,白猿孤,
